Month,BTC,DJI,SP500
1,34622.37,29982.62,3714.24
2,46642.61,30932.37,3811.15
3,58734.48,32981.55,3972.89
4,53260.3,33874.85,4181.17
5,35749.66,34529.45,4204.11
6,35945.79,34502.51,4297.5
7,41157.15,34935.47,4395.26
8,47663.02,35360.73,4522.68
9,41412.61,33843.92,4307.54
10,61374.28,35819.56,4605.38
11,57834.36,34483.72,4567
12,47128.47,36338.3,4766.18
