,January,February,March,April,May,June,July,August,September,October,November,December
BTC_pred,42207.5,43041.3,43875.2,44709.1,45542.9,46376.8,47210.6,48044.5,48878.4,49712.2,50546.1,51379.9
DJI_pred,31570.9,32006.3,32441.6,32877.0,33312.3,33747.7,34183.1,34618.4,35053.8,35489.1,35924.5,36359.8
SP500_pred,3807.8,3893.4,3979.0,4064.7,4150.3,4235.9,4321.5,4407.1,4492.8,4578.4,4664.0,4749.6
